id,name,city,country:id,bic
bankID_ABNAIDJABDG,ABN AMRO BANK N.V.  (BANDUNG BRANCH) ,BANDUNG ,base.id,ABNAIDJABDG
bankID_ABNAIDJAMBH,ABN AMRO BANK N.V.  (MAIN BRANCH) ,JAKARTA ,base.id,ABNAIDJAMBH
bankID_ABNAIDJAXXX,ABN AMRO BANK N.V.  ,JAKARTA ,base.id,ABNAIDJAXXX
bankID_ABNAIDJAMDN,ABN AMRO BANK N.V.  (MEDAN BRANCH) ,MEDAN ,base.id,ABNAIDJAMDN
bankID_ABNAIDJASBA,ABN AMRO BANK N.V.  (SURABAYA BRANCH) ,SURABAYA ,base.id,ABNAIDJASBA
bankID_ANZBIDJXXXX,"ANZ PANIN BANK, P.T.  ",JAKARTA ,base.id,ANZBIDJXXXX
bankID_BKKBIDJAXXX,BANGKOK BANK PUBLIC COMPANY LIMITED  ,JAKARTA ,base.id,BKKBIDJAXXX
bankID_ARTGIDJAXXX,"BANK ARTHA GRAHA INTERNASIONAL TBK, PT  ",JAKARTA ,base.id,ARTGIDJAXXX
bankID_BNPAIDJAXXX,"BANK BNP PARIBAS INDONESIA, PT  ",JAKARTA ,base.id,BNPAIDJAXXX
bankID_BBUKIDJAXXX,BANK BUKOPIN  ,JAKARTA ,base.id,BBUKIDJAXXX
bankID_BUMIIDJAXXX,"BANK BUMIPUTERA INDONESIA, PT  ",JAKARTA ,base.id,BUMIIDJAXXX
bankID_CENAIDJAXXX,BANK CENTRAL ASIA  ,JAKARTA ,base.id,CENAIDJAXXX
bankID_CTCBIDJAXXX,"BANK CHINATRUST INDONESIA, PT  ",JAKARTA ,base.id,CTCBIDJAXXX
bankID_BICNIDJAXXX,BANK COMMONWEALTH  ,JAKARTA ,base.id,BICNIDJAXXX
bankID_DBSBIDJAIBD,"BANK DBS INDONESIA, PT  (JAKARTA BRANCH) ",JAKARTA ,base.id,DBSBIDJAIBD
bankID_DBSBIDJAXXX,"BANK DBS INDONESIA, PT  ",JAKARTA ,base.id,DBSBIDJAXXX
bankID_DBSBIDJASBY,"BANK DBS INDONESIA, PT  (SYRABAYA BRANCH) ",SURABAYA ,base.id,DBSBIDJASBY
bankID_BDKIIDJAXXX,"BANK DKI, PT.  ",JAKARTA ,base.id,BDKIIDJAXXX
bankID_EKONIDJAXXX,BANK EKONOMI RAHARJA PT.  ,JAKARTA ,base.id,EKONIDJAXXX
bankID_BEXIIDJAXXX,BANK EKSPOR INDONESIA (PERSERO) PT  ,JAKARTA ,base.id,BEXIIDJAXXX
bankID_FINBIDJAXXX,"BANK FINCONESIA,PT  ",JAKARTA ,base.id,FINBIDJAXXX
bankID_GNESIDJAXXX,BANK GANESHA  ,JAKARTA ,base.id,GNESIDJAXXX
bankID_INDOIDJAXXX,BANK INDONESIA  ,JAKARTA ,base.id,INDOIDJAXXX
bankID_IBBKIDJADEX,BANK INTERNASIONAL INDONESIA  (EXPEND CONTROL DEPT.) ,JAKARTA ,base.id,IBBKIDJADEX
bankID_IBBKIDJA138,BANK INTERNASIONAL INDONESIA  (JUANDA BRANCH) ,JAKARTA ,base.id,IBBKIDJA138
bankID_IBBKIDJA001,BANK INTERNASIONAL INDONESIA  (KALIBESAR BRANCH) ,JAKARTA ,base.id,IBBKIDJA001
bankID_IBBKIDJA008,BANK INTERNASIONAL INDONESIA  (PANGLIMA POLIM BRANCH) ,JAKARTA ,base.id,IBBKIDJA008
bankID_IBBKIDJATRS,BANK INTERNASIONAL INDONESIA  (SETTLEMENT DEPT.) ,JAKARTA ,base.id,IBBKIDJATRS
bankID_IBBKIDJA003,BANK INTERNASIONAL INDONESIA  (THAMRIN BRANCH) ,JAKARTA ,base.id,IBBKIDJA003
bankID_IBBKIDJAXXX,BANK INTERNASIONAL INDONESIA  ,JAKARTA ,base.id,IBBKIDJAXXX
bankID_AWANIDJAXXX,BANK KESAWAN PT.  ,JAKARTA ,base.id,AWANIDJAXXX
bankID_BMRIIDJA852,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER BANDUNG) ",BANDUNG ,base.id,BMRIIDJA852
bankID_BMRIIDJA856,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER BANJARMASIN) ",BANJARMASIN ,base.id,BMRIIDJA856
bankID_BMRIIDJA107,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER JAKARTA) ",JAKARTA ,base.id,BMRIIDJA107
bankID_BMRIIDJACUS,"BANK MANDIRI (PERSERO), PT  (HEAD OFFICE-CUSTODIAL SERVICES) ",JAKARTA ,base.id,BMRIIDJACUS
bankID_BMRIIDJAEXM,"BANK MANDIRI (PERSERO), PT  (HEAD OFFICE-EXPORT/IMPORT DEPT) ",JAKARTA ,base.id,BMRIIDJAEXM
bankID_BMRIIDJASTL,"BANK MANDIRI (PERSERO), PT  (HEAD OFFICE-SETTLEMENT DEPT) ",JAKARTA ,base.id,BMRIIDJASTL
bankID_BMRIIDJAXXX,"BANK MANDIRI (PERSERO), PT  ",JAKARTA ,base.id,BMRIIDJAXXX
bankID_BMRIIDJA853,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER MEDAN) ",MEDAN ,base.id,BMRIIDJA853
bankID_BMRIIDJA860,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER PALEMBANG) ",PALEMBANG ,base.id,BMRIIDJA860
bankID_BMRIIDJA854,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER SEMARANG) ",SEMARANG ,base.id,BMRIIDJA854
bankID_BMRIIDJA851,"BANK MANDIRI (PERSERO), PT  (BILLS PROCESSING CENTER SURABAYA) ",SURABAYA ,base.id,BMRIIDJA851
bankID_MBBEIDJAXXX,BANK MAYBANK INDOCORP PT  ,JAKARTA ,base.id,MBBEIDJAXXX
bankID_MEGAIDJAXXX,BANK MEGA PT  ,JAKARTA ,base.id,MEGAIDJAXXX
bankID_MHCCIDJAXXX,"BANK MIZUHO INDONESIA, PT.  ",JAKARTA ,base.id,MHCCIDJAXXX
bankID_BNINIDJAABN,BANK NEGARA INDONESIA – PT (PERSERO)  (AMBON BRANCH) ,AMBON ,base.id,BNINIDJAABN
bankID_BNINIDJABLG,BANK NEGARA INDONESIA – PT (PERSERO)  (BALIGE BRANCH) ,BALIGE ,base.id,BNINIDJABLG
bankID_BNINIDJABPN,BANK NEGARA INDONESIA – PT (PERSERO)  (BALIKPAPAN BRANCH) ,BALIKPAPAN ,base.id,BNINIDJABPN
bankID_BNINIDJAPSB,BANK NEGARA INDONESIA – PT (PERSERO)  (PANDANSARI BRANCH) ,BALIKPAPAN ,base.id,BNINIDJAPSB
bankID_BNINIDJABDA,BANK NEGARA INDONESIA – PT (PERSERO)  (BANDA ACEH BRANCH) ,BANDA ACEH ,base.id,BNINIDJABDA
bankID_BNINIDJABDL,BANK NEGARA INDONESIA – PT (PERSERO)  (BANDAR LAMPUNG BRANCH) ,BANDAR LAMPUNG ,base.id,BNINIDJABDL
bankID_BNINIDJAAYI,BANK NEGARA INDONESIA – PT (PERSERO)  (AHMAD YANI BRANCH) ,BANDUNG ,base.id,BNINIDJAAYI
bankID_BNINIDJABDG,BANK NEGARA INDONESIA – PT (PERSERO)  (BANDUNG BRANCH) ,BANDUNG ,base.id,BNINIDJABDG
bankID_BNINIDJAIKB,BANK NEGARA INDONESIA – PT (PERSERO)  (IKIP BANDUNG BRANCH) ,BANDUNG ,base.id,BNINIDJAIKB
bankID_BNINIDJAITB,BANK NEGARA INDONESIA – PT (PERSERO)  (ITB BRANCH) ,BANDUNG ,base.id,BNINIDJAITB
bankID_BNINIDJAJJS,BANK NEGARA INDONESIA – PT (PERSERO)  (JALAN JENDRAL SUDIRMAN BRANCH) ,BANDUNG ,base.id,BNINIDJAJJS
bankID_BNINIDJAJPK,BANK NEGARA INDONESIA – PT (PERSERO)  (JALAN PERINTIS KEMERDEKAAN BANDUNG BRANCH) ,BANDUNG ,base.id,BNINIDJAJPK
bankID_BNINIDJAUPB,BANK NEGARA INDONESIA – PT (PERSERO)  (UNPAD BR. BDG.) ,BANDUNG ,base.id,BNINIDJAUPB
bankID_BNINIDJABKO,BANK NEGARA INDONESIA – PT (PERSERO)  (BANGKO BRANCH) ,BANGKO ,base.id,BNINIDJABKO
bankID_BNINIDJABJR,BANK NEGARA INDONESIA – PT (PERSERO)  (BANJAR BRANCH) ,BANJAR ,base.id,BNINIDJABJR
bankID_BNINIDJABBR,BANK NEGARA INDONESIA – PT (PERSERO)  (BANJARBARU BRANCH) ,BANJARBARU ,base.id,BNINIDJABBR
bankID_BNINIDJABMS,BANK NEGARA INDONESIA – PT (PERSERO)  (BANJARMASIN BRANCH) ,BANJARMASIN ,base.id,BNINIDJABMS
bankID_BNINIDJAPAB,BANK NEGARA INDONESIA – PT (PERSERO)  (PANGERAN ANTASARI BRANCH) ,BANJARMASIN ,base.id,BNINIDJAPAB
bankID_BNINIDJABWI,BANK NEGARA INDONESIA – PT (PERSERO)  (BANYUWANGI BRANCH) ,BANYUWANGI ,base.id,BNINIDJABWI
bankID_BNINIDJABBI,BANK NEGARA INDONESIA – PT (PERSERO)  (BARABAI BRANCH) ,BARABAI ,base.id,BNINIDJABBI
bankID_BNINIDJABTM,BANK NEGARA INDONESIA – PT (PERSERO)  (BATAM BRANCH) ,BATAM ,base.id,BNINIDJABTM
bankID_BNINIDJABTR,BANK NEGARA INDONESIA – PT (PERSERO)  (BATURAJA BRANCH) ,BATURAJA ,base.id,BNINIDJABTR
bankID_BNINIDJABAU,BANK NEGARA INDONESIA – PT (PERSERO)  (BAU-BAU BRANCH) ,BAU-BAU ,base.id,BNINIDJABAU
bankID_BNINIDJABKS,BANK NEGARA INDONESIA – PT (PERSERO)  (BEKASI BRANCH) ,BEKASI ,base.id,BNINIDJABKS
bankID_BNINIDJABLW,BANK NEGARA INDONESIA – PT (PERSERO)  (BELAWAN BRANCH) ,BELAWAN ,base.id,BNINIDJABLW
bankID_BNINIDJABKL,BANK NEGARA INDONESIA – PT (PERSERO)  (BENGKULU BRANCH) ,BENGKULU ,base.id,BNINIDJABKL
bankID_BNINIDJABIK,BANK NEGARA INDONESIA – PT (PERSERO)  (BIAK BRANCH) ,BIAK ,base.id,BNINIDJABIK
bankID_BNINIDJABMA,BANK NEGARA INDONESIA – PT (PERSERO)  (BIMA BRANCH) ,BIMA ,base.id,BNINIDJABMA
bankID_BNINIDJABRN,BANK NEGARA INDONESIA – PT (PERSERO)  (BIREUN BRANCH) ,BIREUN ,base.id,BNINIDJABRN
bankID_BNINIDJABIT,BANK NEGARA INDONESIA – PT (PERSERO)  (BITUNG BRANCH) ,BITUNG ,base.id,BNINIDJABIT
bankID_BNINIDJABLT,BANK NEGARA INDONESIA – PT (PERSERO)  (BLITAR BRANCH) ,BLITAR ,base.id,BNINIDJABLT
bankID_BNINIDJABGR,BANK NEGARA INDONESIA – PT (PERSERO)  (BOGOR BRANCH) ,BOGOR ,base.id,BNINIDJABGR
bankID_BNINIDJABRO,BANK NEGARA INDONESIA – PT (PERSERO)  (BOJONEGORO BRANCH) ,BOJONEGORO ,base.id,BNINIDJABRO
bankID_BNINIDJABDO,BANK NEGARA INDONESIA – PT (PERSERO)  (BONDOWOSO BRANCH) ,BONDOWOSO ,base.id,BNINIDJABDO
bankID_BNINIDJABTG,BANK NEGARA INDONESIA – PT (PERSERO)  (BUKITTINGGI BRANCH) ,BUKITTINGGI ,base.id,BNINIDJABTG
bankID_BNINIDJACPU,BANK NEGARA INDONESIA – PT (PERSERO)  (CEPU BRANCH) ,CEPU ,base.id,BNINIDJACPU
bankID_BNINIDJACAM,BANK NEGARA INDONESIA – PT (PERSERO)  (CIAMIS BRANCH) ,CIAMIS ,base.id,BNINIDJACAM
bankID_BNINIDJACJR,BANK NEGARA INDONESIA – PT (PERSERO)  (CIANJUR BRANCH) ,CIANJUR ,base.id,BNINIDJACJR
bankID_BNINIDJACKP,BANK NEGARA INDONESIA – PT (PERSERO)  (CIKAMPEK BRANCH) ,CIKAMPEK ,base.id,BNINIDJACKP
bankID_BNINIDJACLP,BANK NEGARA INDONESIA – PT (PERSERO)  (CILACAP BRANCH) ,CILACAP ,base.id,BNINIDJACLP
bankID_BNINIDJACLG,BANK NEGARA INDONESIA – PT (PERSERO)  (CILEGON BRANCH) ,CILEGON ,base.id,BNINIDJACLG
bankID_BNINIDJACMI,BANK NEGARA INDONESIA – PT (PERSERO)  (CIMAHI BDG. BRANCH) ,CIMAHI ,base.id,BNINIDJACMI
bankID_BNINIDJACRB,BANK NEGARA INDONESIA – PT (PERSERO)  (CIREBON BRANCH) ,CIREBON ,base.id,BNINIDJACRB
bankID_BNINIDJADPS,BANK NEGARA INDONESIA – PT (PERSERO)  (DENPASAR BRANCH) ,DENPASAR ,base.id,BNINIDJADPS
bankID_BNINIDJARNN,BANK NEGARA INDONESIA – PT (PERSERO)  (RENON BRANCH) ,DENPASAR ,base.id,BNINIDJARNN
bankID_BNINIDJAMGD,BANK NEGARA INDONESIA – PT (PERSERO)  (MARGONDA BRANCH) ,DEPOK ,base.id,BNINIDJAMGD
bankID_BNINIDJADLI,BANK NEGARA INDONESIA – PT (PERSERO)  (DILI-EAST TIM) ,DILI ,base.id,BNINIDJADLI
bankID_BNINIDJADMI,BANK NEGARA INDONESIA – PT (PERSERO)  (DUMAI BRANCH) ,DUMAI ,base.id,BNINIDJADMI
bankID_BNINIDJAEND,BANK NEGARA INDONESIA – PT (PERSERO)  (ENDE BR. NTT.) ,ENDE ,base.id,BNINIDJAEND
bankID_BNINIDJAGRT,BANK NEGARA INDONESIA – PT (PERSERO)  (GARUT BRANCH) ,GARUT ,base.id,BNINIDJAGRT
bankID_BNINIDJAGTL,BANK NEGARA INDONESIA – PT (PERSERO)  (GORONTALO BRANCH) ,GORONTALO ,base.id,BNINIDJAGTL
bankID_BNINIDJAGRK,BANK NEGARA INDONESIA – PT (PERSERO)  (GRESIK BRANCH) ,GRESIK ,base.id,BNINIDJAGRK
bankID_BNINIDJAGST,BANK NEGARA INDONESIA – PT (PERSERO)  (GUNUNG SITOLI BRANCH) ,GUNUNG SITOLI ,base.id,BNINIDJAGST
bankID_BNINIDJAIDR,BANK NEGARA INDONESIA – PT (PERSERO)  (INDRAMAYU BRANCH) ,INDRAMAYU ,base.id,BNINIDJAIDR
bankID_BNINIDJABSH,BANK NEGARA INDONESIA – PT (PERSERO)  (BANDARA SUKARNO HATTA BRANCH) ,JAKARTA ,base.id,BNINIDJABSH
bankID_BNINIDJADMG,BANK NEGARA INDONESIA – PT (PERSERO)  (DAAN MOGOT BRANCH) ,JAKARTA ,base.id,BNINIDJADMG
bankID_BNINIDJADKB,BANK NEGARA INDONESIA – PT (PERSERO)  (DUKUH BAWAH LANDMARK BRANCH) ,JAKARTA ,base.id,BNINIDJADKB
bankID_BNINIDJAFMI,BANK NEGARA INDONESIA – PT (PERSERO)  (FATMAWATI BRANCH) ,JAKARTA ,base.id,BNINIDJAFMI
bankID_BNINIDJAGBR,BANK NEGARA INDONESIA – PT (PERSERO)  (GAMBIR BRANCH) ,JAKARTA ,base.id,BNINIDJAGBR
bankID_BNINIDJAGNS,BANK NEGARA INDONESIA – PT (PERSERO)  (GUNUNG SAHARI BRANCH) ,JAKARTA ,base.id,BNINIDJAGNS
bankID_BNINIDJAHMN,BANK NEGARA INDONESIA – PT (PERSERO)  (HARMONI BRANCH) ,JAKARTA ,base.id,BNINIDJAHMN
bankID_BNINIDJAAPK,BANK NEGARA INDONESIA – PT (PERSERO)  (HEAD OFFICE FINANCIAL ANALYSIS AND CONTROL DIVISION) ,JAKARTA ,base.id,BNINIDJAAPK
bankID_BNINIDJADLN,BANK NEGARA INDONESIA – PT (PERSERO)  (HEAD OFFICE INTERNATIONAL DIVISION) ,JAKARTA ,base.id,BNINIDJADLN
bankID_BNINIDJAHII,BANK NEGARA INDONESIA – PT (PERSERO)  (HOTEL INDONESIA BRANCH) ,JAKARTA ,base.id,BNINIDJAHII
bankID_BNINIDJAJKT,BANK NEGARA INDONESIA – PT (PERSERO)  (JAKARTA KOTA BRANCH) ,JAKARTA ,base.id,BNINIDJAJKT
bankID_BNINIDJAJPU,BANK NEGARA INDONESIA – PT (PERSERO)  (JAKARTA PUSAT BRANCH) ,JAKARTA ,base.id,BNINIDJAJPU
bankID_BNINIDJAJRS,BANK NEGARA INDONESIA – PT (PERSERO)  (JALAN RASUNA SAID BRANCH) ,JAKARTA ,base.id,BNINIDJAJRS
bankID_BNINIDJAJNG,BANK NEGARA INDONESIA – PT (PERSERO)  (JATINEGARA BRANCH) ,JAKARTA ,base.id,BNINIDJAJNG
bankID_BNINIDJAKBY,BANK NEGARA INDONESIA – PT (PERSERO)  (KEBAYORAN BARU BRANCH) ,JAKARTA ,base.id,BNINIDJAKBY
bankID_BNINIDJAKRM,BANK NEGARA INDONESIA – PT (PERSERO)  (KRAMAT BRANCH) ,JAKARTA ,base.id,BNINIDJAKRM
bankID_BNINIDJAKRK,BANK NEGARA INDONESIA – PT (PERSERO)  (KREKOT BRANCH) ,JAKARTA ,base.id,BNINIDJAKRK
bankID_BNINIDJAMDA,BANK NEGARA INDONESIA – PT (PERSERO)  (MANGGA DUA BRANCH) ,JAKARTA ,base.id,BNINIDJAMDA
bankID_BNINIDJAMTR,BANK NEGARA INDONESIA – PT (PERSERO)  (MATRAMAN BRANCH) ,JAKARTA ,base.id,BNINIDJAMTR
bankID_BNINIDJAMDT,BANK NEGARA INDONESIA – PT (PERSERO)  (MEDAN MERDEKA TIMUR BRANCH) ,JAKARTA ,base.id,BNINIDJAMDT
bankID_BNINIDJAMTG,BANK NEGARA INDONESIA – PT (PERSERO)  (MENTENG BRANCH) ,JAKARTA ,base.id,BNINIDJAMTG
bankID_BNINIDJAMDS,BANK NEGARA INDONESIA – PT (PERSERO)  (MERDEKA SELATAN BRANCH) ,JAKARTA ,base.id,BNINIDJAMDS
bankID_BNINIDJAMHT,BANK NEGARA INDONESIA – PT (PERSERO)  (MH THAMRIN BRANCH) ,JAKARTA ,base.id,BNINIDJAMHT
bankID_BNINIDJAPBU,BANK NEGARA INDONESIA – PT (PERSERO)  (PASAR BARU BRANCH) ,JAKARTA ,base.id,BNINIDJAPBU
bankID_BNINIDJAPKJ,BANK NEGARA INDONESIA – PT (PERSERO)  (PASAR KOJA BRANCH) ,JAKARTA ,base.id,BNINIDJAPKJ
bankID_BNINIDJAPMK,BANK NEGARA INDONESIA – PT (PERSERO)  (PASAR MAYESTIK BRANCH) ,JAKARTA ,base.id,BNINIDJAPMK
bankID_BNINIDJAPSM,BANK NEGARA INDONESIA – PT (PERSERO)  (PASAR MINGGU BRANCH) ,JAKARTA ,base.id,BNINIDJAPSM
bankID_BNINIDJAPCG,BANK NEGARA INDONESIA – PT (PERSERO)  (PECENONGAN BRANCH) ,JAKARTA ,base.id,BNINIDJAPCG
bankID_BNINIDJAPTJ,BANK NEGARA INDONESIA – PT (PERSERO)  (PETOJO BRANCH) ,JAKARTA ,base.id,BNINIDJAPTJ
bankID_BNINIDJAPIM,BANK NEGARA INDONESIA – PT (PERSERO)  (PONDOK INDAH MALL BRANCH) ,JAKARTA ,base.id,BNINIDJAPIM
bankID_BNINIDJARPZ,BANK NEGARA INDONESIA – PT (PERSERO)  (RATU PLAZA) ,JAKARTA ,base.id,BNINIDJARPZ
bankID_BNINIDJARWM,BANK NEGARA INDONESIA – PT (PERSERO)  (RAWAMANGUN BRANCH) ,JAKARTA ,base.id,BNINIDJARWM
bankID_BNINIDJARMA,BANK NEGARA INDONESIA – PT (PERSERO)  (ROA MALAKA BRANCH) ,JAKARTA ,base.id,BNINIDJARMA
bankID_BNINIDJASGI,BANK NEGARA INDONESIA – PT (PERSERO)  (SEMANGGI BRANCH) ,JAKARTA ,base.id,BNINIDJASGI
bankID_BNINIDJASNY,BANK NEGARA INDONESIA – PT (PERSERO)  (SENAYAN BRANCH) ,JAKARTA ,base.id,BNINIDJASNY
bankID_BNINIDJASNN,BANK NEGARA INDONESIA – PT (PERSERO)  (SENEN BRANCH) ,JAKARTA ,base.id,BNINIDJASNN
bankID_BNINIDJASJK,BANK NEGARA INDONESIA – PT (PERSERO)  (SYNDICATION DIVISION) ,JAKARTA ,base.id,BNINIDJASJK
bankID_BNINIDJATAB,BANK NEGARA INDONESIA – PT (PERSERO)  (TANAH ABANG BRANCH) ,JAKARTA ,base.id,BNINIDJATAB
bankID_BNINIDJATPR,BANK NEGARA INDONESIA – PT (PERSERO)  (TANJUNG PRIOK BRANCH) ,JAKARTA ,base.id,BNINIDJATPR
bankID_BNINIDJATEB,BANK NEGARA INDONESIA – PT (PERSERO)  (TEBET BRANCH) ,JAKARTA ,base.id,BNINIDJATEB
bankID_BNINIDJATRS,BANK NEGARA INDONESIA – PT (PERSERO)  (TREASURY DIVISION) ,JAKARTA ,base.id,BNINIDJATRS
bankID_BNINIDJAUID,BANK NEGARA INDONESIA – PT (PERSERO)  (UI DEPOK BRANCH) ,JAKARTA ,base.id,BNINIDJAUID
bankID_BNINIDJAWAM,BANK NEGARA INDONESIA – PT (PERSERO)  (WISMA ARGO MANUNGGAL BRANCH) ,JAKARTA ,base.id,BNINIDJAWAM
bankID_BNINIDJAWEN,BANK NEGARA INDONESIA – PT (PERSERO)  (WISMA EMPAT NAM BRANCH) ,JAKARTA ,base.id,BNINIDJAWEN
bankID_BNINIDJAXXX,BANK NEGARA INDONESIA – PT (PERSERO)  ,JAKARTA ,base.id,BNINIDJAXXX
bankID_BNINIDJAJBI,BANK NEGARA INDONESIA – PT (PERSERO)  (JAMBI BRANCH) ,JAMBI ,base.id,BNINIDJAJBI
